,floral_host,bee_genus_species,imidacloprid_ppb,percent_days_paralyzed
334,SUNFLOWER,HALICTUS,5,57
335,SUNFLOWER,HALICTUS,5,58
336,SUNFLOWER,HALICTUS,20,33
337,SUNFLOWER,HALICTUS,20,78
338,SUNFLOWER,HALICTUS,100,100
339,SUNFLOWER,HALICTUS,100,50
340,SUNFLOWER,HALICTUS,100,50
341,SUNFLOWER,HALICTUS,0,50
342,SUNFLOWER,HALICTUS,0,14
343,SUNFLOWER,HALICTUS,0,0
344,SUNFLOWER,HALICTUS,0,0
345,SUNFLOWER,HALICTUS,0,0
346,SUNFLOWER,HALICTUS,0,0
347,SUNFLOWER,HALICTUS,5,67
348,SUNFLOWER,HALICTUS,5,57
349,SUNFLOWER,HALICTUS,5,71
350,SUNFLOWER,HALICTUS,5,68
351,SUNFLOWER,HALICTUS,5,55
352,SUNFLOWER,HALICTUS,5,37
353,SUNFLOWER,HALICTUS,20,20
354,SUNFLOWER,HALICTUS,20,20
355,SUNFLOWER,HALICTUS,20,43
356,SUNFLOWER,HALICTUS,20,14
357,SUNFLOWER,HALICTUS,20,38
358,SUNFLOWER,HALICTUS,20,65
359,SUNFLOWER,HALICTUS,100,0
360,SUNFLOWER,HALICTUS,100,0
361,SUNFLOWER,HALICTUS,100,0
362,SUNFLOWER,HALICTUS,100,50
363,SUNFLOWER,HALICTUS,100,50
364,SUNFLOWER,HALICTUS,100,67
365,SUNFLOWER,HALICTUS,0,0
366,SUNFLOWER,HALICTUS,0,0
367,SUNFLOWER,HALICTUS,0,4
368,SUNFLOWER,HALICTUS,0,0
369,SUNFLOWER,HALICTUS,0,0
370,SUNFLOWER,HALICTUS,0,0
371,SUNFLOWER,HALICTUS,5,33
372,SUNFLOWER,HALICTUS,5,50
373,SUNFLOWER,HALICTUS,5,50
374,SUNFLOWER,HALICTUS,5,33
375,SUNFLOWER,HALICTUS,5,67
376,SUNFLOWER,HALICTUS,5,43
377,SUNFLOWER,HALICTUS,20,83
378,SUNFLOWER,HALICTUS,20,83
379,SUNFLOWER,HALICTUS,20,73
380,SUNFLOWER,HALICTUS,20,53
381,SUNFLOWER,HALICTUS,20,56
382,SUNFLOWER,HALICTUS,20,42
383,SUNFLOWER,HALICTUS,100,0
384,SUNFLOWER,HALICTUS,100,60
385,SUNFLOWER,HALICTUS,100,67
386,SUNFLOWER,HALICTUS,100,67
387,SUNFLOWER,HALICTUS,100,60
388,SUNFLOWER,HALICTUS,100,70
389,SUNFLOWER,HALICTUS,5,43
390,SUNFLOWER,HALICTUS,5,65
391,SUNFLOWER,HALICTUS,20,0
392,SUNFLOWER,HALICTUS,20,25
393,SUNFLOWER,HALICTUS,100,75
394,SUNFLOWER,HALICTUS,100,50
395,SUNFLOWER,HALICTUS,100,50
396,CUCURBITA,MELISSODES,5,0
397,CUCURBITA,MELISSODES,20,100
398,CUCURBITA,MELISSODES,0,0
399,CUCURBITA,MELISSODES,0,0
400,CUCURBITA,MELISSODES,20,0
401,CUCURBITA,MELISSODES,20,33
402,CUCURBITA,MELISSODES,5,0
403,CUCURBITA,MELISSODES,100,0
404,CUCURBITA,MELISSODES,100,0
405,CUCURBITA,MELISSODES,0,0
406,CUCURBITA,MELISSODES,5,33
407,CUCURBITA,MELISSODES,100,100
408,CUCURBITA,MELISSODES,20,0
409,CUCURBITA,MELISSODES,100,100
410,OKRA,MELISSODES,5,0
411,SUNFLOWER,MEGACHILE,5,0
412,CUCURBITA,MELISSODES,5,0
413,CUCURBITA,MELISSODES,0,0
414,CUCURBITA,MELISSODES,0,0
415,CUCURBITA,MELISSODES,20,100
416,CUCURBITA,MELISSODES,20,75
417,CUCURBITA,MELISSODES,100,67
418,CUCURBITA,MELISSODES,100,75
419,CUCURBITA,MELISSODES,0,0
420,CUCURBITA,MELISSODES,100,0
421,CUCURBITA,MELISSODES,0,0
422,CUCURBITA,MELISSODES,5,0
423,OKRA,MELISSODES,0,0
424,OKRA,MELISSODES,5,0
425,OKRA,MELISSODES,20,44
426,OKRA,MELISSODES,100,50
427,SUNFLOWER,MELISSODES,100,50
428,SUNFLOWER,MELISSODES,100,100
429,SUNFLOWER,MEGACHILE,0,0
430,SUNFLOWER,MEGACHILE,20,38
431,SUNFLOWER,MEGACHILE,100,0
432,OKRA,MELITOMA,20,73
433,SUNFLOWER,MEGACHILE,20,0
434,SUNFLOWER,MEGACHILE,20,67
435,SUNFLOWER,MEGACHILE,0,6
436,SUNFLOWER,MEGACHILE,0,13
437,SUNFLOWER,MEGACHILE,0,0
438,SUNFLOWER,MEGACHILE,5,0
439,SUNFLOWER,MEGACHILE,5,0
440,SUNFLOWER,MEGACHILE,0,0
441,SUNFLOWER,MEGACHILE,5,10
442,SUNFLOWER,MEGACHILE,100,60
443,OKRA,PTILOTHRIX,5,0
444,OKRA,PTILOTHRIX,100,50
445,OKRA,PTILOTHRIX,0,5
446,OKRA,PTILOTHRIX,0,8
447,OKRA,PTILOTHRIX,5,20
448,OKRA,PTILOTHRIX,5,22
449,OKRA,PTILOTHRIX,20,67
450,OKRA,PTILOTHRIX,20,67
451,OKRA,PTILOTHRIX,20,100
452,OKRA,PTILOTHRIX,100,100
453,OKRA,PTILOTHRIX,100,67
454,OKRA,PTILOTHRIX,0,0
455,OKRA,PTILOTHRIX,0,0
456,OKRA,PTILOTHRIX,0,7
457,OKRA,PTILOTHRIX,5,0
458,OKRA,PTILOTHRIX,5,0
459,OKRA,PTILOTHRIX,100,18
460,OKRA,PTILOTHRIX,0,5
461,OKRA,PTILOTHRIX,0,4
462,OKRA,PTILOTHRIX,0,4
463,OKRA,PTILOTHRIX,5,0
464,OKRA,PTILOTHRIX,20,44
465,OKRA,PTILOTHRIX,20,58
466,OKRA,PTILOTHRIX,100,63
467,OKRA,PTILOTHRIX,0,0
468,OKRA,PTILOTHRIX,5,0
469,OKRA,PTILOTHRIX,5,0
470,OKRA,PTILOTHRIX,20,9
471,OKRA,PTILOTHRIX,100,100
472,OKRA,PTILOTHRIX,100,100
473,OKRA,PTILOTHRIX,100,60
474,OKRA,PTILOTHRIX,0,6
475,OKRA,PTILOTHRIX,5,33
476,OKRA,PTILOTHRIX,20,29
477,OKRA,PTILOTHRIX,20,9
478,OKRA,PTILOTHRIX,100,14
479,OKRA,PTILOTHRIX,100,57
480,OKRA,PTILOTHRIX,0,0
481,OKRA,PTILOTHRIX,0,7
482,OKRA,PTILOTHRIX,0,14
483,OKRA,PTILOTHRIX,0,14
484,OKRA,PTILOTHRIX,5,11
485,OKRA,PTILOTHRIX,20,25
486,OKRA,PTILOTHRIX,20,25
487,OKRA,PTILOTHRIX,20,25
488,OKRA,PTILOTHRIX,100,57
489,OKRA,PTILOTHRIX,100,38
490,OKRA,PTILOTHRIX,0,0
491,OKRA,PTILOTHRIX,0,0
492,OKRA,PTILOTHRIX,5,29
493,OKRA,PTILOTHRIX,20,100
494,OKRA,PTILOTHRIX,20,40
495,OKRA,PTILOTHRIX,100,0
